Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Mar-2020 ,3.15,-1.5,-35.4,-1.4,0.04,2.72,10.8,-1.4,0.0,-11.3,0.0,1.28,-12.0,261.0,0.9,0.0,-12.0,0.0,-1.2,-9.0,1.28,-11.6,0.1,CPT,0
Jun-2020 ,2.95,0.3,13.9,0.2,0.02,2.27,10.9,0.2,1.0,1.0,0.8,1.33,1.3,183.0,0.8,0.0,1.3,20.5,0.2,4.8,1.33,1.5,0.18,CPT,0
Sep-2020 ,3.21,1.3,47.1,1.2,0.02,2.5,12.5,1.2,1.0,3.9,0.95,1.31,4.1,180.9,0.8,0.0,4.1,4.8,1.0,5.8,1.31,3.8,0.24,CPT,0
Dec-2020 ,3.6,0.7,25.9,-1.3,0.02,3.22,11.8,0.5,-2.53,1.8,0.77,1.27,2.3,206.6,0.7,0.0,2.3,23.1,0.5,4.4,1.27,2.3,0.22,CPT,0
Mar-2021 ,3.42,-1.7,-84.3,-1.7,0.01,2.98,1.9,-1.7,0.0,-9.7,0.0,1.28,-10.0,318.9,0.8,0.0,-10.0,0.0,-1.3,-6.3,1.28,-9.9,0.13,CPT,0
Jun-2021 ,3.42,-1.4,-84.6,-0.7,0.01,3.01,1.6,-0.7,0.0,-3.9,0.0,1.28,-7.2,261.4,0.7,0.0,-7.2,0.0,-1.1,-3.9,1.28,-7.1,0.15,CPT,0
Sep-2021 ,2.51,-4.6,-288.9,-3.7,0.01,2.01,-13.5,-3.7,0.0,-21.2,0.0,1.37,-26.5,278.8,0.7,0.0,-26.5,0.0,-3.5,-22.8,1.37,-26.4,0.13,CPT,0
Dec-2021 ,2.01,-3.7,-230.9,-3.0,0.01,1.63,-5.4,-3.0,0.0,-10.6,0.0,1.48,-13.2,186.6,0.7,0.0,-13.2,0.0,-2.6,-10.8,1.48,-13.2,0.2,CPT,0
Mar-2022 ,1.89,0.8,53.8,0.7,0.01,1.44,9.6,0.7,1.0,1.8,0.8,1.52,2.2,163.0,0.7,0.0,2.2,20.2,0.6,4.2,1.52,2.3,0.25,CPT,0
Jun-2022 ,1.86,-0.2,-12.5,-0.1,0.01,1.4,7.9,-0.1,0.0,-0.3,0.0,1.52,-0.4,185.9,0.6,0.0,-0.4,0.0,-0.1,1.5,1.52,-0.4,0.24,CPT,0
